answer,question
"STE eğitim-öğretim planının 8. yarıyılında yer alır.  Bu dönemin ilk haftasında yapılabilir.","STE için başvuru zamanı?"
"Öğrencimin proje danışmanıdır.","STE sorumlusu kimdir?"
"STE isteğe bağlı olup, talep eden öğrenciler kontenjan dâhilinde bu eğitimi alabileceklerdir","STE zorunlu mudur?"
"Bölüm Kurulları tarafından belirlenmek üzere 4. sınıfta güz veya bahar döneminin başında başlar.","STE ne zaman başlar?"
"STE 4. Sınıf bahar döneminin sonunda bitmiş olur.","STE ne zaman biter?"
"7. dönemin son iki haftası STE danışmanından bilgi alınız?","STE ilk başvuru tarihi?"
"İŞKUR şart değildir.","İşkur şart mı?"
"STE’ye devamlılık esas olup, devamlılık durumu Namık Kemal Üniversitesi Önlisans ve Lisans Eğitim-Öğretim Yönetmeliği kapsamında değerlendirilir.","Devam zorunluluğu nedir?"
"Bütün dönem boyunca devam zorunluluğu vardır","Devam zorunluluğu kaç gün?"
"Çorlu Mühendislik Fakültesi internet sitesinde Sektör Tümleşik Eğitim başlığı altından ulaşabilirsiniz","STE yönergesine nasıl ulaşabilirim ?"
"Öğrencinin proje danışmanı ile aynı kişidir.","STE Danışmanı kimdir ?"
"Sektör danışmanı kurumda tam zamanlı çalışmalı ve en az lisans mezunu olmalıdır.","STE Sektör Danışmanı gereklilikleri nelerdir?"
" öğrencilerinin öğrenim süreleri içerisinde kazandıkları teorik bilgi ve deneyimlerini pekiştirmek, laboratuvar ve atölye uygulamalarında edindikleri beceri ve deneyimlerini geliştirmek için son sınıf öğrencilerinin katılacağı eğitim modelidir. ","STE nedir ?"
"Öğrencilerin öğrenim süreleri içerisinde kazandıkları teorik bilgi ve deneyimlerini pekiştirmek, laboratuvar ve atölye uygulamalarında edindikleri beceri ve deneyimlerini geliştirmek, görev yapacakları STE yerlerindeki sorumluluklarını, ilişkileri, organizasyon ve üretim süreçlerini ve yeni teknolojileri tanımalarını sağlamaktır.","STE'nin amacı nedir ?"
"Bölüm STE kontejyanlarında veya öğrencinin bulduğu firmada yapılabilir.","Nerelerde STE yapabilirim ?"
"STE eğitim-öğretim planının 8. yarıyılında yer alır. ","Ne zaman STE yapabilirim?"
"STE, eğitim-öğretim planının 8. yarıyılında yer alır.","STE kaçıncı dönemde yapılır?"
"STE yapılacak kuruluşların uygunluğuna Bölüm STE Komisyonu karar verir.","STE yapılacak yerlerin uygunluğuna kim karar verir?"
"STE (10 AKTS); STE Stajı (1 AKTS) ve STE dersinden (9 AKTS) oluşmaktadır. STE yapacak olan öğrenciler STE Stajı ve STE dersinin her ikisine birlikte kayıt yaptırmalıdır. Bunlardan sadece birine kayıt yaptırılamaz.","STE kaç kredidir?"
"STE, iki adet mesleki seçimlik derse denktir","STE kaç adet derse denktir?"
"Hafta sonu veya resmi tatil günlerinde işletme önerisi ile yapılan çalışmalar STE kapsamında değildir.","Haftasonu çalışılan günler sayılır mı?"
"Hafta sonu veya resmi tatil günlerinde işletme önerisi ile yapılan çalışmalar STE kapsamında değildir.","Cumartesi günleri çalışılan günler sayılır mı?"
"STE yapılması için 2 gün ders günü ve 3 iş günü Bölüm Başkanlığı tarafından ders seçim döneminden önce belirlenir. 3 iş günü için 5510 Sayılı Sosyal Sigortalar ve Genel Sağlık Sigortası Kanunu kapsamında gerekli sigorta işlemleri, ilgili yarıyılı kapsayacak şekilde Fakülte Dekanlığı tarafında yaptırmalıdır. Sigorta işlemi yaptırılmamış ve belirtilen  2 tarihler dışında yapılmış STE kabul edilmez. ","STE'de sigarta var mı?"
"STE yapmak isteyen öğrencilerin, STE’ye başlayacakları dönemden bir önceki dönem, akademik takvimde belirtilen derslerin bitiş tarihine kadar, dilekçe ile Bölüme başvuru yapmaları gerekmektedir. STE başvuru dilekçesinin bir örneği bu uygulama esaslarının ekinde verilmektedir.","STE başvuru tarihi nedir?"
"İşkur tarafından belirli sayıda öğrenciye kurum sağlanır.","Okul, STE için kurum sağlar mı?"
"STE yapacak olan öğrenciler STE Stajı ve STE dersinin her ikisine birlikte kayıt yaptırmalıdır. Bunlardan sadece birine kayıt yaptırılamaz. Gerekli belgeri de danışmanına teslim etmelidir.","STE almak için ne yapmalıyım?"
"Öğrencinin bölümü ile ilgili en az bir mühenisin bulunduğu şirketlerde yapılabilir.","Hangi şirketlerde STE yapabilirim?"
"Bölümlerin belirleyeceği kriterlere uygun olarak hazırlanan STE raporları doldurulmalıdır.","STE stajı için defter doldurmalı mıyım?"
"STE sigortası okul tarafından yapılmaktadır.","STE stajı için okul sigorta yapar mı?"
"Bölüm başkanlığı tarafından öğrenciye atanan danışman ile ","STE yapan öğrenci kim tarafından incelenir ?"
"Bölüm başkanlığı tarafından öğrenciye atanan danışman aracaığı ile değerlendirilir","STE yapan öğrenci kim tarafından değerlendirilir ? "
"Danışman atama, her bir öğretim üyesine eşit sayıda öğrencinin danışmanlığının verilmesi esasına dayalı yapılır","STE danışmanları kaç öğrenci ile ilgilenir ?"
"STE danışmanı, öğrencinin proje aldığı danışman ile aynıdır. Bu sebepten dolayı proje danışmanı ile aynı tarihte belirlenir.","STE danışmanları ne zaman belirlenir ?"
"STE danışmanları aynı zamanda öğrencinin proje danışmanıdır.","STE danışmanı öğrenci tarafından değiştirilebilir mi ?"
" STE raporunu Akademik Takvim’de belirtilen derslerin bitiş tarihinde mesai bitimine kadar Dekanlık STE sekretaryasına teslim etmesi zorunludur.","STE raporu ne zamana kadar teslim edilmelidir?"
"STE alanları, donanım ve yazılım olmak üzere iki gruba ayrılmıştır","STE stajı kaç gruba ayrılır?"
"Bilgi işlem uygulamaları, Uygulama programı tasarım, Veri tabanı uygulamaları, Ağ ve iletişim uygulamaları, Güvenlik ve şifreleme uygulamaları,  Büyük veri işleme uygulamaları, Bulut uygulamaları,  Web ve İnternet uygulamaları, Yapay zekâ uygulamaları, Görüntü işleme uygulamaları, Bilgisayar destekli tasarımları","Yazılım dalının alanları nelerdir?"
"Elektronik lojik elemanlar ve mikroişlemcilerle tasarım ve üretim, Analog ve digital bilgi iletişim sistemleri tasarım ve üretimi, Bilgisayar kontrollü sistemler, Bilgisayar destekli üretim sistemleri, Network sistemleri, Nesnelerin İnterneti","Donanım dalının alanları nelerdir?"
"Açılan yeni bir alan var ise STE komisyonuna dilekçe ile başvurulur ve alanın uygun olup olmadığı komisyon tarafından öğrenciye bildirilir. ","STE yapmak istediğim alan yönergede yok ise ne yapmalıyım?"
"Yazılım ve Donanım","STE yapılabilecek dallar nelerdir?"
"STE raporlarının incelenmesi şeklinde ve/veya gerekli görüldüğünde yazılı veya sözlü sınavla da yapılabilir.","STE yapan öğrenci nasıl değerlendirilir ?"
"STE’nin yapıldığı işletme ile iletişime geçip, STE yapan öğrenci hakkında bilgi alarak öğrencileri izleyebilir.","STE yapan öğrenci nasıl izlenir ?"
"STE raporları öğrencinin ilişiği kesildikten sonra iki yıl süreyle saklanır.","STE raporları değerlendirme sonrası ne olur ?"
"STE yeri kabul belgesi, Sigorta başlatma işlem belgesi ve provizyon, değerlendirme formu(fotoğraflı), ste raporu","Ne tür belgeler gerekli?"
"Üniversite Senatosunca alınan kararlar uygulanır.","STE yönergesinde olmayan hallerde ne yapılır ?"
"Yaz döneminde STE yapılamaz.","Yaz döneminde STE yapılabilir mi?"
"STE yapılacak kuruluşların uygunluğuna Bölüm STE Komisyonu karar verir.","STE yapılcak kurumların uygunluğuna kim karar verir?"
"STE sırasında hastalanan veya hastalığı sebebiyle STE’ye devam edemeyen ya da bir kazaya uğrayan STE öğrencisinin STE’si sonlandırılır.","STE sırasında hastalanma durumunda ne yapılmalıdır?"
"Bölüm STE Komisyonu başvuru yapan öğrencilerin mevcut kontenjanlara dağılımını öğrencilerin genel akademik not ortalamasını dikkate alarak yapar","Mevcut STE kontejyanlarından faydalanabilir miyim?"
"STE yeri belli olan öğrenciler, STE’ye başlayacağı günden en az 10 gün önce Nüfus Cüzdanı Fotokopisi ve STE Yeri Kabul Belgesini Dekanlık STE sekretaryasına’ya teslim etmek ve STE’ye başlamadan önce SGK primlerinin yatırıldığını takip etmek zorundadır. Primler yatırılmadan STE’ye başlanmamalıdır.","STE için sigorta gereklilikleri nelerdir?"
"Yazılım ve Donanım üzerine lisans eğitimi gerektiren , mühendislik kavramına önem veren bilişim firmalarında","Nerelerde STE yapabilirim ?"
